split,cluster,baseline,n_test,similarity_mean,similarity_std,ci95_lo,ci95_hi
paper,0,global_mean,40,0.7264583333333332,0.04469514794695282,0.7123958333333333,0.7410455729166665
paper,0,cluster_majority,40,0.7810416666666666,0.034757343348804245,0.7700520833333334,0.7915638020833333
paper,0,cluster_mean,40,0.7936458333333334,0.03935501587225642,0.7807812500000001,0.8058854166666667
paper,0,centroid_determin,40,0.7264583333333332,0.04469514794695282,0.7123958333333333,0.7410455729166665
paper,0,empirical_sample,40,0.7181770833333333,0.033926964998258466,0.7075520833333334,0.7284388020833333
paper,0,train_user_copy,40,0.7215624999999999,0.04171234475381492,0.7088541666666666,0.7344283854166666
rand0,0,global_mean,40,0.7264062499999999,0.04220842459475162,0.7130716145833333,0.7394791666666667
rand0,0,cluster_majority,40,0.7765104166666668,0.03239227438918371,0.7663541666666667,0.7864596354166666
rand0,0,cluster_mean,40,0.78953125,0.03901034712944403,0.7776041666666667,0.8018749999999999
rand0,0,centroid_determin,40,0.7264062499999999,0.04220842459475162,0.7130716145833333,0.7394791666666667
rand0,0,empirical_sample,40,0.7195833333333332,0.029388294863771872,0.7100520833333334,0.7283333333333333
rand0,0,train_user_copy,40,0.7280208333333332,0.04287556182819455,0.7150520833333334,0.7415638020833333
rand1,0,global_mean,40,0.7323958333333334,0.05082426063161174,0.7165611979166666,0.7490104166666666
rand1,0,cluster_majority,40,0.7772916666666667,0.03582727661991629,0.7656770833333334,0.7881770833333335
rand1,0,cluster_mean,40,0.7872916666666667,0.04394006334390822,0.7730208333333334,0.8010937499999999
rand1,0,centroid_determin,40,0.7323958333333334,0.05082426063161174,0.7165611979166666,0.7490104166666666
rand1,0,empirical_sample,40,0.7105729166666667,0.03453682710115794,0.6993216145833333,0.7211458333333333
rand1,0,train_user_copy,40,0.7162499999999999,0.05552229907383559,0.6989062500000001,0.73359375
rand2,0,global_mean,40,0.7306250000000001,0.0507991688470939,0.7153125,0.7470846354166666
rand2,0,cluster_majority,40,0.7823958333333334,0.03590638749852795,0.7705729166666667,0.7930221354166666
rand2,0,cluster_mean,40,0.7975,0.0384096839279425,0.7851028645833333,0.8092187500000001
rand2,0,centroid_determin,40,0.7306250000000001,0.0507991688470939,0.7153125,0.7470846354166666
rand2,0,empirical_sample,40,0.7281770833333333,0.03034447590389302,0.7184895833333333,0.7373958333333334
rand2,0,train_user_copy,40,0.7313541666666667,0.042256117037457824,0.7178645833333334,0.7442213541666667
rand3,0,global_mean,40,0.7296354166666668,0.04567559860756859,0.7155208333333334,0.7436458333333333
rand3,0,cluster_majority,40,0.7765104166666668,0.034901235589298585,0.7658854166666667,0.78760546875
rand3,0,cluster_mean,40,0.7861979166666667,0.03815313027559323,0.7742708333333332,0.7982291666666667
rand3,0,centroid_determin,40,0.7296354166666668,0.04567559860756859,0.7155208333333334,0.7436458333333333
rand3,0,empirical_sample,40,0.72,0.03307451603744356,0.7095833333333333,0.7302083333333333
rand3,0,train_user_copy,40,0.7119791666666666,0.034399454685196514,0.7011458333333334,0.7228138020833333
rand4,0,global_mean,40,0.7420312499999999,0.04807015159978578,0.7267708333333334,0.7568229166666667
rand4,0,cluster_majority,40,0.7861979166666666,0.027507446513903782,0.7777591145833332,0.7947395833333333
rand4,0,cluster_mean,40,0.8001562499999999,0.038463850215982025,0.7879166666666666,0.8120312500000001
rand4,0,centroid_determin,40,0.7420312499999999,0.04807015159978578,0.7267708333333334,0.7568229166666667
rand4,0,empirical_sample,40,0.7260416666666667,0.02530199541977316,0.7175520833333333,0.73375
rand4,0,train_user_copy,40,0.73453125,0.04269788363014091,0.7215104166666667,0.74796875
rand5,0,global_mean,40,0.7442708333333333,0.04878237439981098,0.7291145833333333,0.7594270833333333
rand5,0,cluster_majority,40,0.7802083333333334,0.03434026022356589,0.7696341145833333,0.7908333333333333
rand5,0,cluster_mean,40,0.7951041666666667,0.04129666447217956,0.7822903645833332,0.8080729166666666
rand5,0,centroid_determin,40,0.7442708333333333,0.04878237439981098,0.7291145833333333,0.7594270833333333
rand5,0,empirical_sample,40,0.7168229166666666,0.031240927502481062,0.7070833333333334,0.7264583333333333
rand5,0,train_user_copy,40,0.7196875,0.05123464793775355,0.70390625,0.7357304687499999
rand6,0,global_mean,40,0.7308333333333333,0.055905969543113686,0.7129153645833333,0.7479166666666667
rand6,0,cluster_majority,40,0.776875,0.04225316391835185,0.7635937500000001,0.7900026041666667
rand6,0,cluster_mean,40,0.78875,0.04980386879773721,0.7725520833333335,0.8040638020833333
rand6,0,centroid_determin,40,0.7308333333333333,0.055905969543113686,0.7129153645833333,0.7479166666666667
rand6,0,empirical_sample,40,0.7261458333333333,0.03302247629982073,0.71536328125,0.7363554687499999
rand6,0,train_user_copy,40,0.7245833333333334,0.04706489314411185,0.7098958333333333,0.7391666666666666
rand7,0,global_mean,40,0.7321354166666667,0.0446044719649368,0.7179674479166667,0.7455729166666666
rand7,0,cluster_majority,40,0.78359375,0.0380092376724067,0.7720312500000001,0.7955208333333333
rand7,0,cluster_mean,40,0.79421875,0.03944462401538742,0.7817187500000001,0.8061979166666667
rand7,0,centroid_determin,40,0.7321354166666667,0.0446044719649368,0.7179674479166667,0.7455729166666666
rand7,0,empirical_sample,40,0.720625,0.030649791552671644,0.71114453125,0.7302617187499999
rand7,0,train_user_copy,40,0.734375,0.05154513596515841,0.71828125,0.75078125
rand8,0,global_mean,40,0.7415104166666666,0.04706763081630221,0.7271341145833333,0.7563033854166666
rand8,0,cluster_majority,40,0.76953125,0.04198753406063586,0.7554153645833334,0.78171875
rand8,0,cluster_mean,40,0.7922395833333333,0.046684770251523136,0.7770833333333333,0.8064075520833331
rand8,0,centroid_determin,40,0.7415104166666666,0.04706763081630221,0.7271341145833333,0.7563033854166666
rand8,0,empirical_sample,40,0.7185937499999999,0.02749047933363577,0.7098411458333332,0.7271354166666667
rand8,0,train_user_copy,40,0.72109375,0.04829377759083518,0.7053632812499999,0.73515625
rand9,0,global_mean,40,0.72984375,0.05505163985945629,0.7129166666666666,0.7466666666666667
rand9,0,cluster_majority,40,0.7778645833333334,0.03794209169311322,0.7657799479166666,0.7896888020833334
rand9,0,cluster_mean,40,0.7921354166666666,0.04442555683192264,0.77848828125,0.8061471354166667
rand9,0,centroid_determin,40,0.72984375,0.05505163985945629,0.7129166666666666,0.7466666666666667
rand9,0,empirical_sample,40,0.7258854166666666,0.02874278102302385,0.7165625,0.7345312500000001
rand9,0,train_user_copy,40,0.7259375,0.03356996089222559,0.7158333333333333,0.7365625
rand10,0,global_mean,40,0.7322916666666666,0.051704874985074874,0.7161966145833333,0.7483854166666667
rand10,0,cluster_majority,40,0.7690625,0.04192510994320707,0.7552604166666667,0.7814062500000001
rand10,0,cluster_mean,40,0.7858333333333334,0.04279513536736518,0.7717708333333333,0.7986458333333333
rand10,0,centroid_determin,40,0.7322916666666666,0.051704874985074874,0.7161966145833333,0.7483854166666667
rand10,0,empirical_sample,40,0.7153645833333334,0.03690996312114341,0.70364453125,0.7260416666666666
rand10,0,train_user_copy,40,0.7172395833333333,0.04139753577064636,0.7039583333333332,0.7302096354166666
rand11,0,global_mean,40,0.7300520833333334,0.046137455738787886,0.7157278645833333,0.7445846354166665
