preprocessing,k,ari_mean,ari_std,ari_p05,ari_p95,n_boot
raw,2,0.9761561455049318,0.00985852018140935,0.9575738685171035,0.9879452448290305,40
raw,3,0.9498067710734919,0.019198069335021408,0.9138194563791355,0.9763599912718067,40
raw,4,0.9374638295858475,0.021557933253228405,0.8926484262416285,0.9607102824657713,40
raw,5,0.9054010622933129,0.035891028028240284,0.8443787114710772,0.9542215331544959,40
raw,6,0.7710321529445562,0.09339206142042442,0.6074563039424502,0.8848686328592695,40
raw,7,0.5217522296009451,0.16532476951140562,0.33510898553781543,0.8396101621502448,40
raw,8,0.6487548999662381,0.165357509098954,0.32006449392293423,0.8401759583315287,40
raw,9,0.5152501531939964,0.13707111067117278,0.3677928967256524,0.7733628029996292,40
raw,10,0.4538128219470301,0.12017798680120566,0.3179274070453225,0.6624758570882793,40
raw,11,0.5606761007113419,0.12844645762419685,0.3956970981195994,0.7756191131393637,40
raw,12,0.6683212385584542,0.10223990915996962,0.5085273133202616,0.8130670851137801,40
raw,13,0.5847591545259869,0.09459374241789517,0.4628662534517003,0.7788121726560079,40
raw,14,0.6128548800691727,0.13746507292501822,0.3799917825263982,0.7935397013489447,40
raw,15,0.506628395380549,0.095478580973526,0.3734263968640111,0.6724374496588699,40
zscore,2,0.9770921735354609,0.010274952200161438,0.9543081775004638,0.9922240491582018,40
zscore,3,0.951561835359111,0.019427602201719036,0.9252625428559585,0.9768243995456602,40
zscore,4,0.9318877895857114,0.024179088294632275,0.8737918745670097,0.9565035408723966,40
zscore,5,0.9031266872436696,0.04383733961732924,0.8219335782375294,0.9580860014802896,40
zscore,6,0.7968455542491469,0.0829589530582255,0.6645420163307099,0.9047380255452199,40
zscore,7,0.5813596804458749,0.16065044032508016,0.3728950368108452,0.8464726506072257,40
zscore,8,0.638042716188383,0.18393840396420874,0.3139505685730523,0.8273661274416763,40
zscore,9,0.5300803532250222,0.13520439142746235,0.3810115704399654,0.7575381430759381,40
zscore,10,0.4820567153308934,0.11596881447651598,0.3509513671464815,0.6633955234018709,40
zscore,11,0.5684178548269652,0.13907736226183912,0.366993967615122,0.7952129998566412,40
zscore,12,0.6831750669752513,0.10855442544202208,0.4908629218205161,0.8086583649096631,40
zscore,13,0.5775725363164778,0.09184790652912106,0.46899226193150506,0.7533976738624293,40
zscore,14,0.646702885147529,0.12097133952357743,0.40456500939683776,0.7975090440030803,40
zscore,15,0.5002160786769049,0.09946904906226922,0.36752746681691806,0.7080665034749667,40
