preprocessing,k,inertia,silhouette,calinski_harabasz,davies_bouldin,gap,gap_sd,ari_vs_shipped
raw,2,8520017277.244732,0.13380589333400095,69054.69268545594,2.398008696535207,0.09251074962571337,0.0010189048798639802,0.22351546411278708
raw,3,7977787035.8608885,0.0987274972520539,50812.976877415436,2.5850401890040824,0.14126223975358698,0.0009717112690537101,0.5409864847391258
raw,4,7606368823.803405,0.08226598135394733,42205.473485431925,2.51823234076499,0.17516643408983512,0.0009659058940356314,0.9819885149529268
raw,5,7353314041.714215,0.08082624256068986,36272.153598617246,2.553987323772139,0.19931347498880925,0.0010320186845489856,0.5837405641997182
raw,6,7182827334.5349,0.07131304236543176,31653.47563049472,2.731733982811777,0.21347218606544516,0.00116909331532263,0.5152034444777444
raw,7,7042369720.704714,0.0670469902669565,28267.327175481627,2.732622420800271,0.22617690323563266,0.0011466081283640168,0.3939564263579666
raw,8,6911957523.786257,0.06364329480595463,25791.758953331475,2.6811219418524566,0.23649838991600447,0.0009767313676486745,0.34669509782529645
raw,9,6803128207.000545,0.05819096877322563,23748.90638084792,2.6501996113256543,0.247305272856007,0.0011378148147826546,0.27631358557816665
raw,10,6706303457.912502,0.0575753069140941,22072.846096227935,2.6785617825676384,0.2553997069111169,0.0011277203853923064,0.27537188136740065
raw,11,6618133000.545928,0.05525127231430436,20676.610726611965,2.5804817320874047,0.26324285426846217,0.001009707283407639,0.23089160095184527
raw,12,6534612321.199352,0.056397616232079034,19513.688269397302,2.5333355049271202,0.27091614223824934,0.0009443898542005242,0.20386250348418097
raw,13,6469759823.520628,0.05446974066299092,18409.42425395111,2.588693554373085,0.2759963707482278,0.0009141857736976117,0.1963462260223751
raw,14,6407284419.00906,0.05386502903802215,17466.60616116646,2.6102095931028737,0.28076474877345703,0.0010935092770899982,0.18898712463953765
raw,15,6355688224.943854,0.05280494995645088,16588.44965098224,2.6208042773862696,0.2847406721384509,0.0011649572510803712,0.1808333826088087
zscore,2,10532478.316215659,0.13375237814041477,69029.01529063305,2.398746157377951,0.09277769931366997,0.0007674096971698232,0.2233961221361467
zscore,3,9863185.439698247,0.09862190477292054,50772.94845826081,2.5884768638322666,0.1409069577367692,0.001021948551507804,0.5423270684929062
zscore,4,9405932.4759333,0.08228268611302635,42140.49044419295,2.522146521717464,0.1740917799890731,0.0010893680910786683,0.9508881931397959
zscore,5,9087522.33635114,0.08108763556712413,36305.53294211894,2.542411696762614,0.19894158618259894,0.0010803337362260519,0.5865864940508222
zscore,6,8874507.780462828,0.0718493252214904,31710.548797715357,2.7148243727877355,0.21331593828803896,0.0009668369048816534,0.514545834641487
zscore,7,8700685.817241913,0.0624700293539182,28318.98965985156,2.8108700236309625,0.22590058129975432,0.0011263959896031818,0.39914000769699615
zscore,8,8540531.206419146,0.06358532374693286,25827.321170665477,2.6873504201147167,0.23669642820225967,0.0011434745532286359,0.3451135730913883
zscore,9,8404114.837249143,0.05755636703329264,23797.890421484015,2.720431857249336,0.24723174074094167,0.001246962253509986,0.32356124206314213
zscore,10,8287283.947141404,0.05522379671429055,22094.321112509842,2.624362609627839,0.2557677533579046,0.0011563476481386242,0.27457584830122256
zscore,11,8176918.557232207,0.05579711001724533,20706.826971325143,2.64484722313049,0.2634258754467371,0.0013454182954059865,0.24538948117403894
zscore,12,8075031.282495748,0.05665709102349435,19532.323652493917,2.517552153286426,0.2709225904591239,0.0010715284733626544,0.2016538271034072
zscore,13,7994884.140618675,0.05556498319562419,18426.718005158815,2.587542519900325,0.2760526030084254,0.0012445850408919336,0.19353310005404253
