item,MAD,GMD
M1,0.7217023675310034,0.9605111474905594
M2,0.9970687711386697,1.3904910335816485
M3,1.032412626832018,1.3372089457007075
M4,0.9059188275084554,1.2908337326457957
M5,1.0162908680947011,1.4316262905630497
M6,0.956651634723788,1.371370866162749
M7,0.6148816234498309,0.8060443281318913
M8,1.0211386696730553,1.39123733268596
M9,0.7044532130777903,1.0018458975887459
N1,0.9507328072153326,1.2687266275107434
N2,1.083652762119504,1.464802565937397
N3,0.9828072153325818,1.2841912238535071
N4,1.0488726042841037,1.3743898336106277
N5,0.9284103720405863,1.2844335885120028
N6,1.126381059751973,1.4690827549128143
N7,1.095715896279594,1.4509227613187607
N8,1.1082863585118377,1.4512423277988837
N9,0.9702367531003382,1.2974829969152317
P1,1.0550732807215333,1.4238097014498539
P2,1.0456031567080044,1.3638317409557317
P3,1.082468996617813,1.4524876361422476
P4,0.9876550169109357,1.3803462706334388
P5,0.8226606538895153,1.229476949396837
P6,0.9982525366403607,1.3797080400981736
P7,1.2051860202931228,1.5793931128450664
P8,1.2898534385569336,1.628213732366171
P9,1.1953213077790303,1.5449345678337607
