cluster,m,DF_mean,DF_sd,DF_lo,DF_hi,VR_mean
0,1,0.7254559895833332,0.026509354256656768,0.6570794270833332,0.76341796875,0.0
0,2,0.7979973958333332,0.014862113777791182,0.76880078125,0.8239231770833333,0.5508205001363258
0,3,0.8310843750000001,0.013676322451226812,0.8056666666666668,0.8526640625,0.7258836840245253
0,5,0.8628760416666666,0.010866946501141912,0.8347825520833334,0.8782382812499999,0.8524362482471964
0,8,0.8860864583333332,0.007649167713553517,0.8686106770833334,0.8989244791666667,0.9164399171182205
0,13,0.9039661458333333,0.00584734818943804,0.8915455729166667,0.9139231770833334,0.9620178702899547
0,21,0.9153197916666665,0.005323069652889569,0.9039348958333333,0.9246419270833334,0.9759345426899134
0,34,0.92343125,0.004483623509429127,0.9142513020833334,0.9314192708333333,0.9902253557544527
0,55,0.9288523437500001,0.004605175162633592,0.9203111979166667,0.9377656249999999,1.0005718224612659
0,100,0.9329950520833333,0.003977792757125677,0.9246223958333334,0.940890625,1.0043087678558138
0,200,0.9356666666666668,0.0039836430427889905,0.92749609375,0.9434388020833334,1.013185031075119
0,500,0.9379575520833333,0.0029453522299670823,0.9319257812499999,0.94234765625,1.0101285112476974
1,1,0.7503291666666666,0.021686553598666784,0.7068255208333334,0.7878359375,0.0
1,2,0.8156770833333334,0.014653527125059724,0.7877929687499999,0.8412994791666667,0.5320456916353514
1,3,0.8459182291666667,0.012604343479734334,0.81904296875,0.8631341145833333,0.7127888241044399
1,5,0.8758361979166668,0.008324086988633406,0.8572877604166667,0.8893867187500001,0.846028545048268
1,8,0.8955859375,0.007065608088061485,0.8810390625,0.9065729166666667,0.9073390192184664
1,13,0.9118104166666666,0.005883411900443297,0.8993632812500001,0.9215729166666666,0.9509715950515879
1,21,0.9227333333333334,0.004323249108703174,0.915234375,0.93078515625,0.9771099686164086
1,34,0.9295544270833334,0.004313238090709629,0.9196809895833333,0.9365638020833333,0.9951313394274464
1,55,0.9345322916666666,0.004116043253656624,0.9257265625000001,0.9421927083333332,1.0056104415000733
1,100,0.9383473958333335,0.0035550173839603684,0.9305,0.94463671875,1.0109489212680085
1,200,0.94075390625,0.003153532665100647,0.9348190104166666,0.946359375,1.0169522069165677
1,500,0.9427872395833333,0.0027361947193915537,0.938125,0.94765625,1.0181718389480392
2,1,0.7197486979166667,0.02624320164400048,0.66498828125,0.7645911458333333,0.0
2,2,0.7946,0.017579794488621098,0.7519388020833333,0.8218776041666667,0.5470380991128239
2,3,0.82879453125,0.012111232381635435,0.7990104166666667,0.8484322916666667,0.7233626482951349
2,5,0.8613249999999999,0.010259020156654967,0.8396393229166667,0.8776640625000001,0.8520286767523657
2,8,0.8851979166666666,0.0078022884652606175,0.8685390625,0.8987408854166666,0.917620109781227
2,13,0.90166328125,0.0063465461422458295,0.8895729166666667,0.9123997395833333,0.9554456840055389
2,21,0.9142619791666666,0.005298019762194891,0.90223046875,0.9244791666666666,0.9766360793357172
2,34,0.9220486979166667,0.004932798387546682,0.9114427083333334,0.92986328125,0.9904433785964679
2,55,0.9278479166666668,0.004178572703097251,0.9197382812499999,0.9355260416666666,1.000973946163665
2,100,0.9321703124999999,0.003933661150876263,0.9244778645833333,0.9393828125,1.0048448587822927
2,200,0.9347494791666668,0.0036438513585935815,0.9274375,0.9409401041666666,1.0106551796597412
2,500,0.9364851562500001,0.003479661647283973,0.9292135416666667,0.9425533854166667,1.011848330973864
3,1,0.6958434895833332,0.03394829290533654,0.6304244791666667,0.7463164062500001,0.0
3,2,0.7813114583333334,0.01900852285087461,0.7337317708333333,0.810890625,0.5512569478056634
3,3,0.8175106770833332,0.015491058984486144,0.7881809895833334,0.84177734375,0.7322243141021169
3,5,0.85437734375,0.010510533192155305,0.8299505208333334,0.8706276041666666,0.8535550293406092
3,8,0.8774567708333333,0.009404929237169369,0.8572630208333334,0.8946367187500001,0.9199704146682314
3,13,0.8950067708333332,0.006708295544504068,0.8818997395833333,0.9066692708333333,0.9608489318763777
3,21,0.9088593750000001,0.005938098471300478,0.8976979166666667,0.9185390625,0.9788094722000916
3,34,0.9173575520833332,0.004724284137228249,0.9080989583333334,0.9267200520833334,0.9886207383245375
3,55,0.9243494791666665,0.0048004363532764,0.9143125,0.9330286458333333,0.9961097587221055
3,100,0.9284356770833333,0.004024162648717,0.9205104166666667,0.9356809895833333,1.0029963994357984
3,200,0.9314658854166666,0.0037269779333283536,0.9242174479166666,0.9384479166666667,1.0055296698121543
3,500,0.9333091145833333,0.003389336182583847,0.9260846354166666,0.9398463541666666,1.0100451384079514
