model,cluster,model_var_total,human_var_total,model_share_item,human_share_item,model_share_interaction,human_share_interaction,model_share_person,human_share_person,total_var_ratio,IVR_model,IVR_constant
gigchat3,0,0.703210677514007,1.4690173177083334,0.6053060138879484,0.2818080184519608,0.32754341627699757,0.6721022908389694,0.06715056983505402,0.04608969070906981,0.47869461376467326,0.48299876444871004,0.0
gigchat3,1,1.5551889896262003,1.7493155815972223,0.8566089017546055,0.47642916199046204,0.10078064513039217,0.508248600500528,0.04261045311500219,0.015322237509009906,0.8890271177978226,0.4198633586107994,0.0
gigchat3,2,0.5503177277375995,1.3942176649305555,0.6718768394890718,0.28894188002126214,0.29043632027434196,0.6794290032539219,0.03768684023658624,0.03162911672481596,0.3947143560005103,0.4107663727602766,0.0
gigchat3,3,1.4248194010416664,1.5092317708333334,0.5685747088012708,0.17442821523781585,0.34081320430504125,0.7668412288950814,0.09061208689368802,0.05873055586710263,0.9440693129955394,0.6477499968802367,0.0
gpt4_mini,0,1.5017055555555556,1.379794748263889,0.8845548764922846,0.28702031498683994,0.1108179773368799,0.6916490479175348,0.00462714617083539,0.021330637095625285,1.0883543059176441,0.417587382359308,0.0
gpt4_mini,1,2.0845659722222223,1.6766614149305554,0.9211066785485255,0.4544310694727315,0.07686951886800311,0.532650592557201,0.002023802583471445,0.012918337970067474,1.2432837981832854,0.4235854279617464,0.0
gpt4_mini,2,1.1353499999999999,1.4845822482638888,0.7933364894819512,0.2480804215200948,0.1920791679511458,0.7229477463307389,0.01458434256690301,0.02897183214916631,0.7647605926365543,0.45076421301071856,0.0
gpt4_mini,3,1.2937493055555556,1.5293326388888886,0.8802897908157762,0.1873361610615378,0.11444235879890437,0.7692698203964239,0.005267850385319583,0.04339401854203837,0.8459567739922871,0.3547546845975642,0.0
gpt4_nano,0,1.2452993055555557,1.4444739149305557,0.8645405973909663,0.2738669784952404,0.12677898162590315,0.691604909863768,0.00868042098313045,0.03452811164099147,0.8621126990828523,0.3975361402470904,0.0
gpt4_nano,1,1.4527993055555557,1.7623039930555555,0.9272883623617433,0.4460258631993255,0.06890385467519362,0.5402540333730966,0.0038077829630631674,0.013720103427577795,0.8243749723545892,0.3242538559726476,0.0
gpt4_nano,2,1.074979123263889,1.4737489149305556,0.8594885503065527,0.27491111443248345,0.12709876189052283,0.6951666424926392,0.013412687802924466,0.029922243074877394,0.7294180931183539,0.36518628915560136,0.0
gpt4_nano,3,1.172280859375,1.5517276041666666,0.7352872344100382,0.166043761036506,0.25473877547076196,0.7836280373432346,0.009973990119199827,0.05032820162025951,0.7554681995907117,0.49556501509567147,0.0
grok4.1_fast,0,2.242421831597222,1.473449826388889,0.8453796901868502,0.2875846095784988,0.1517867112571801,0.6864333996970216,0.0028335985559697304,0.02598199072447962,1.5218854360945016,0.580107730307575,0.0
grok4.1_fast,1,2.9111423177083338,1.7820493055555557,0.9464038426711163,0.49616760666071485,0.0522322794160171,0.4767018776369746,0.0013638779128664798,0.027130515702310568,1.6335924649406837,0.4230755414531716,0.0
grok4.1_fast,2,1.4146039930555556,1.5546916666666666,0.7570580400212613,0.24607907248489788,0.22861975874431878,0.714329297163246,0.014322201234419862,0.039591630351856116,0.909893597158422,0.5396385346407369,0.0
grok4.1_fast,3,2.039504123263889,1.6021651041666667,0.9055351464428468,0.17870901907802497,0.09180099882581837,0.77539269506292,0.002663854731334794,0.04589828585905509,1.2729675100024695,0.3882142835093921,0.0
qwen3,0,1.8206944010416666,1.4366326388888888,0.7842026418920837,0.2711036755994317,0.20661952681887272,0.7057852781702582,0.009177831289043582,0.02311104623030998,1.2673347046116232,0.6091090434803149,0.0
qwen3,1,2.4797888888888884,1.678863888888889,0.9527303511499634,0.4477354063842777,0.04442274431963295,0.5345570996259044,0.0028469045304035713,0.01770749398981785,1.477063688903375,0.3503525253770509,0.0
qwen3,2,1.4017964843749997,1.4744739149305557,0.7912388650835606,0.3043881970732323,0.19239600499000062,0.6701107407099854,0.016365129926438956,0.0255010622167823,0.9507095854191636,0.5224547376983334,0.0
qwen3,3,1.9271484375,1.5545623263888888,0.7893854937333198,0.16844226095702403,0.19075616814747248,0.7826806602742666,0.019858338119207685,0.04887707876870936,1.239672674930053,0.5496680676415512,0.0
