preprocessing,k,inertia,silhouette,calinski_harabasz,davies_bouldin,gap,gap_sd,ari_vs_shipped
raw,2,8520014844.892954,0.13384229932687836,69054.76460470504,2.3978159780087567,0.09240547921504572,0.0009942754229880734,0.2233407949011147
raw,3,7977799550.260135,0.09863396450985698,50812.663157035175,2.5864414301330703,0.14135597477572048,0.0009607220393941195,0.5409210082665216
raw,4,7606353436.927257,0.0824000187558857,42205.781950729586,2.5152234544251377,0.17519094277635006,0.000947925253160586,0.9749068483545613
raw,5,7353312307.16754,0.0808196685601712,36272.18400296916,2.554010162198801,0.19927998424620696,0.0010440627905577329,0.5838915333279782
raw,6,7182836120.4251,0.07067778210789309,31653.31741251826,2.730458354189475,0.21340572279475367,0.0010095180848251764,0.5057468406905969
raw,7,7042297823.16207,0.0692270659775146,28268.326675865654,2.7637248571812907,0.22611587985951687,0.0009383488247950919,0.42600337186087794
raw,8,6911945534.033197,0.06356417896660989,25791.89285074931,2.6837839686239975,0.2363260815878121,0.0011539351307065014,0.34755010752358095
raw,9,6803165288.687563,0.05851766925758439,23748.501412623555,2.6274426782552345,0.246976205593878,0.0011514653753728634,0.2698669246714557
raw,10,6706195673.282752,0.05756782879314496,22073.936574613366,2.682250956052932,0.2555235058636498,0.0010214376665617112,0.2779315466795427
raw,11,6618149440.085538,0.05521716040061972,20676.459017323083,2.594770513207036,0.26340439081083744,0.0011661096530524058,0.23108240010360245
raw,12,6534688001.424419,0.05637649447630297,19513.038236469172,2.5328094209885603,0.2709107568320306,0.0011285016253809147,0.20337783176937427
raw,13,6469775525.361156,0.05448396421521154,18409.300965431335,2.590264213338071,0.2760554705480409,0.0010307575501368454,0.19493747102063338
raw,14,6407287455.445002,0.05392711564734657,17466.580075830392,2.6096919574718584,0.28086326789286176,0.0011216035694919628,0.18881436572091911
raw,15,6355797765.003335,0.05294950539948177,16587.665238267153,2.6096503028793854,0.2850363274544101,0.0009276405374850619,0.18180069093215578
